bw000000 EXTRACT
bw000612 OFF
bw000613 IMME
bw000614 DIATELY
bw000615 ,
bw000616 I
bw000617 WAS
bw000618 THEN
bw000619 UNABLE
bw000620 TO
bw000621 TRANSMIT
bw000622 THE
bw000623 ¬
bw000624 ACCOUNTS
bw000625 AT
bw000626 THAT
bw000627 TIME
bw000628 DUE
bw000629 ,
bw000630 WHICH
bw000631 MAKES
bw000632 THOSE
bw000633 LAST
bw000634 SENT
bw000635 TO
bw000636 THE
bw000637 PAYMASTER
bw000638 TO
bw000639 BE
bw000640 FOR
bw000641 A
bw000642 LONGER
bw000643 PERIOD
bw000644 THAN
bw000645 USUAL
bw000646 —
bw000647 A
bw000648 COPY
bw000649 OF
bw000650 ALL
bw000651 THESE
bw000652 ACCOUNTS
bw000653 INCLUD
bw000654 ING
bw000655 ALSO
bw000656 THAT
bw000657 FOR
bw000658 THE
bw000659 MONTH
bw000660 OF
bw000661 OCTOBER
bw000662 NOW
bw000663 ACCOM
bw000664 PANIES
bw000665 THIS
bw000666 LETTER
bw000667 .
bw000668 ¬
bw000669 YOU
bw000670 WILL
bw000671 OBSERVE
bw000672 ON
bw000673 EXAMINING
bw000674 THESE
bw000675 ACCOUNTS
bw000676 THAT
bw000677 THE
bw000678 MONTHLY
bw000679 EXPENCES
bw000680 VERY
bw000681 CONSIDERABLY
bw000682 ,
bw000683 AND
bw000684 THAT
bw000685 THE
bw000686 GARDINERS
bw000687 AND
bw000688 SERVANTS
bw000689 CAN
bw000690 ONLY
bw000691 BE
bw000692 3187
bw000693 FORT
bw000694 ST
bw000695 GEORGE
bw000696 2D
bw000697 DECEMBER
bw000698 1791
bw000699 BE
bw000700 CONSIDERED
bw000701 AS
bw000702 FIXED
bw000703 WHEN
bw000704 THE
bw000705 ALLOWANCE
bw000706 OF
bw000707 150
bw000708 PAGODAS
bw000709 P
bw000710 MONTH
bw000711 WAS
bw000712 GRANTED
bw000713 ,
bw000714 IT
bw000715 WAS
bw000716 THEN
bw000717 AND
bw000718 HAS
bw000719 ALWAYS
bw000720 SINCE
bw000721 BEEN
bw000722 IMAGINED
bw000723 THAT
bw000724 IT
bw000725 WAS
bw000726 TO
bw000727 BE
bw000728 DISBURSED
bw000729 BY
bw000730 ME
bw000731 IN
bw000732 THE
bw000733 MOST
bw000734 ADVANTAGEOUS
bw000735 ¬
bw000736 MANNER
bw000737 ,
bw000738 YOU
bw000739 WILL
bw000740 THEREFORE
bw000741 ALLOW
bw000742 ME
bw000743 TO
bw000744 POINT
bw000745 OUT
bw000746 WHAT
bw000747 APPEARS
bw000748 IN
bw000749 THE
bw000750 ACCOUNTS
bw000751 ,
bw000752 THAT
bw000753 FROM
bw000754 THEIR
bw000755 BEING
bw000756 TRANSMITTED
bw000757 AT
bw000758 INTERVALS
bw000759 OF
bw000760 SOME
bw000761 MONTHS
bw000762 THE
bw000763 MONEY
bw000764 RECEIVED
bw000765 &
bw000766 NOT
bw000767 EXPENDED
bw000768 IN
bw000769 THE
bw000770 DIFFERENT
bw000771 MONTHS
bw000772 ,
bw000773 HAS
bw000774 ENABLED
bw000775 ME
bw000776 TO
bw000777 UNDER
bw000778 TAKE
bw000779 WORKS
bw000780 OF
bw000781 CONSIDERABLE
bw000782 EXPENCE;
bw000783 I
bw000784 HAVE
bw000785 BUILT
bw000786 A
bw000787 LARGE
bw000788 WELL
bw000789 20
bw000790 FEET
bw000791 IN
bw000792 DIAMETER
bw000793 AND
bw000794 MOUNTED
bw000795 IT
bw000796 WITH
bw000797 THREE
bw000798 PRIOTAS
bw000799 HITHERTO
bw000800 SUFFICIENT
bw000801 TO
bw000802 WATER
bw000803 ALL
bw000804 THE
bw000805 GARDEN
bw000806 ,
bw000807 AND
bw000808 HAVE
bw000809 RAISED
bw000810 LEVELLED
bw000811 AND
bw000812 CULTIVATED
bw000813 MORE
bw000814 GROUND
bw000815 THAN
bw000816 WAS
bw000817 AT
bw000818 FIRST
bw000819 SPECIFIED
bw000820 WITHOUT
bw000821 SUBJECTING
bw000822 THE
bw000823 HONBLE
bw000824 COM
bw000825 PANY
bw000826 TO
bw000827 ANY
bw000828 ADDITIONAL
bw000829 EXPENCE
bw000830 —
bw000831 BESIDES
bw000832 THE
bw000833 CULTIVATION
bw000834 OF
bw000835 THE
bw000836 NOPAL
bw000837 ,
bw000838 OF
bw000839 WHICH
bw000840 THERE
bw000841 ARE
bw000842 GREAT
bw000843 QUANTITIES
bw000844 OF
bw000845 ALL
bw000846 THE
bw000847 DIFFERENT
bw000848 KINDS
bw000849 ,
bw000850 BY
bw000851 DR
bw000852 ANDERSON'S
bw000853 DESIRE
bw000854 (AS
bw000855 APPEARS
bw000856 IN
bw000857 HIS
bw000858 LETTERS
bw000859 TO
bw000860 THE
bw000861 HONBLE
bw000862 BOARD)
bw000863 I
bw000864 HAVE
bw000865 ENDEAVOURED
bw000866 TO
bw000867 TURN
bw000868 A
bw000869 PART
bw000870 OF
bw000871 THE
bw000872 GROUND
bw000873 INTO
bw000874 A
bw000875 BOTANICAL
bw000876 GARDEN
bw000877 ,
bw000878 AND
bw000879 3189
bw000880 FORT
bw000881 ST
bw000882 GEORGE
bw000883 2D
bw000884 DECEMBER
bw000885 1791
bw000886 FORT
bw000887 ST
bw000888 GEORGE
bw000889 30TH
bw000890 NOVEMBER
bw000891 1791
bw000892 IMPROVEMENTS
bw000893 OR
bw000894 EVEN
bw000895 FINISHING
bw000896 THE
bw000897 WORKS
bw000898 I
bw000899 HAVE
bw000900 BEGUN
bw000901 ,
bw000902 AS
bw000903 I
bw000904 WAS
bw000905 ENABLED
bw000906 TO
bw000907 DO
bw000908 FORMERLY
bw000909 .
bw000910 ¬
bw000911 I
bw000912 REQUEST
bw000913 OF
bw000914 YOU
bw000915 TO
bw000916 LAY
bw000917 THIS
bw000918 LETTER
bw000919 BEFORE
bw000920 THE
bw000921 HONBLE
bw000922 THE
bw000923 PRESIDENT
bw000924 IN
bw000925 COUNCIL
bw000926 WITH
bw000927 ITS
bw000928 ENCLOSURES
bw000929 ,
bw000930 AND
bw000931 HAVE
bw000932 THE
bw000933 HONOR
bw000934 TO
bw000935 BE
bw000936 &C,
bw000937 ,
bw000938 &C,
bw000939 ,
bw000940 ANDW
bw000941 BERRY
bw000942 SUPERINTENDT
bw000943 HONBLE
bw000944 COMPANYS
bw000945 NOPALRY
bw000946 OBSERVATIONS
bw000947 &
bw000948 RESOLUTIONTHEREON
bw000949 IT
bw000950 APPEARING
bw000951 THAT
bw000952 A
bw000953 GREAT
bw000954 PART
bw000955 OF
bw000956 THE
bw000957 EXPENSE
bw000958 INCURRED
bw000959 AT
bw000960 THE
bw000961 NOPALRY
bw000962 HAS
bw000963 BEEN
bw000964 OCCASIONED
bw000965 BY
bw000966 CIRCUMSTANCES
bw000967 THAT
bw000968 CANNOT
bw000969 AGAIN
bw000970 OCCUR
bw000971 ,
bw000972 AND
bw000973 AS
bw000974 THE
bw000975 COURT
bw000976 OF
bw000977 DI
bw000978 RECTORS
bw000979 HAVE
bw000980 NOT
bw000981 AUTHORIZED
bw000982 ANY
bw000983 DEVIATION
bw000984 FROM
bw000985 THE
bw000986 ORIGINAL
bw000987 DESIGN
bw000988 OF
bw000989 A
bw000990 NOPALRYONLY
bw000991 THE
bw000992 BOARD
bw000993 THINK
bw000994 IT
bw000995 NECESSARY
bw000996 ,
bw000997 TILL
bw000998 THEIR
bw000999 PLEA
bw001000 SURE
bw001001 BE
bw001002 KNOWN
bw001003 ,
bw001004 TO
bw001005 CONFINE
bw001006 THE
bw001007 EXPENSES
bw001008 TO
bw001009 THAT
bw001010 OBJECT
bw001011 AND
bw001012 THE
bw001013 PRESERVATION
bw001014 OF
bw001015 SUCH
bw001016 OTHER
bw001017 PLANTS
bw001018 AS
bw001019 MAY
bw001020 ALREADY
bw001021 HAVE
bw001022 BEEN
bw001023 INTRODUCED
bw001024 INTO
bw001025 THE
bw001026 GARDEN
bw001027 BUT
bw001028 FOR
bw001029 THE
bw001030 BOARDS
bw001031 INFOR
bw001032 MATION
bw001033 &
bw001034 PREVIOUS
bw001035 TO
bw001036 FORMING
bw001037 ANY
bw001038 RESOLU
bw001039 TION
bw001040 ON
bw001041 THE
bw001042 PRESENT
bw001043 ESTABLISHMENT
bw001044 RESOLVED
bw001045 THAT
bw001046 DOCTOR
bw001047 BERRY
bw001048 BE
bw001049 DESIRED
bw001050 TO
bw001051 REPORT
bw001052 THE
bw001053 STATE
bw001054 3190
bw001055 FORT
bw001056 ST
bw001057 GEORGE
bw001058 2D
bw001059 DECEMBER
bw001060 1791
bw001061 STATE
bw001062 OF
bw001063 THE
bw001064 NOPALRY
bw001065 PARTICULARIZING
bw001066 WHAT
bw001067 CHARGES
bw001068 HE
bw001069 MAY
bw001070 THINK
bw001071 ABSOLUTELY
bw001072 NECESSARY
bw001073 &
bw001074 THOSE
bw001075 WHICH
bw001076 MAY
bw001077 BE
bw001078 REDUCED
bw001079 OR
bw001080 ENTIRELY
bw001081 ¬
bw001082 DISCONTINUED
bw001083 ¬
bw001084 FROM
bw001085 THE
bw001086 CLERK
bw001087 TO
bw001088 THE
bw001089 COURT
bw001090 OF
bw001091 REQUESTS
bw001092 READ
bw001093 LETTER
bw001094 FROM
bw001095 THE
bw001096 CLERK
bw001097 TO
bw001098 THE
bw001099 COURT
bw001100 OF
bw001101 REQUESTS
bw001102 /
bw001103 ENTERED
bw001104 M:B
bw001105 .
bw001106 NO
bw001107 1023
bw001108 REPORTING
bw001109 THE
bw001110 ELECTION
bw001111 OF
bw001112 NEW
bw001113 COMMISSIONERS
bw001114 FOR
bw001115 THE
bw001116 ENSUING
bw001117 YEAR
bw001118 .
bw001119 READ
bw001120 PETITION
bw001121 OF
bw001122 PERMAUL
bw001123 KISTNAMA
bw001124 COMPLAINING
bw001125 AGAINST
bw001126 SUTHEA
bw001127 ¬
bw001128 RAUNE
bw001129 OF
bw001130 VIZAGAPATAM
bw001131 ORDERED
bw001132 THAT
bw001133 IT
bw001134 BE
bw001135 RE=
bw001136 FERRED
bw001137 TO
bw001138 THE
bw001139 CHIEF
bw001140 AND
bw001141 COUNCIL
bw001142 AT
bw001143 THAT
bw001144 PLACE
bw001145 WITH
bw001146 DIRECTIONS
bw001147 TO
bw001148 DO
bw001149 JUSTICE
bw001150 TO
bw001151 THE
bw001152 PARTIES
bw001153 CONCERNED
bw001154 ¬
bw001155 READ
bw001156 THE
bw001157 FOLLOWING
bw001158 LETTER
bw001159 FROM
bw001160 MR
bw001161 MITFORD
bw001162 ACCOMPANIED
bw001163 BY
bw001164 A
bw001165 MEMO=
bw001166 RIAL
bw001167 ADDRESSED
bw001168 TO
bw001169 THE
bw001170 HONBLE
bw001171 THE
bw001172 COURT
bw001173 OF
bw001174 DIRECTORS
bw001175 ¬
bw001176 PETITION
bw001177 OF
bw001178 PERMAUL
bw001179 KISTNAMA
bw001180 REFERRED
bw001181 TO
bw001182 VIZAGAPATAM
bw001183 TO
bw001184 THE
bw001185 HONBLE
bw001186 MAJOR
bw001187 GENERAL
bw001188 WILLM
bw001189 MEDOWS
bw001190 PRESIDENT
bw001191 AND
bw001192 GOVERNOR
bw001193 &C,
bw001194 ,
bw001195 IN
bw001196 COUNCIL
bw001197 FORT
bw001198 ST
bw001199 GEORGE
bw001200 HONBLE
bw001201 ,
bw001202 3379
bw001203 FORT
bw001204 ST
bw001205 GEORGE
bw001206 20TH
bw001207 DECEMBER
bw001208 1791
bw001209 TRICHINOPOLY
bw001210 AS
bw001211 MENTIONED
bw001212 IN
bw001213 THE
bw001214 ORDERS
bw001215 OF
bw001216 THE
bw001217 19TH
bw001218 ULTIMO
bw001219 ¬
bw001220 FROM
bw001221 MASULIPATAM
bw001222 READ
bw001223 THE
bw001224 UNDERMENTIONED
bw001225 ¬
bw001226 LETTERS
bw001227 /
bw001228 ENTERED
bw001229 M:B:
bw001230 NOS
bw001231 1050
bw001232 —
bw001233 1051
bw001234 —
bw001235 1052
bw001236 FROM
bw001237 MASULIPATAM
bw001238 WITH
bw001239 JOURNAL
bw001240 PARCELS
bw001241 FOR
bw001242 NOVEMBER
bw001243 ¬
bw001244 FROM
bw001245 MR
bw001246 ATKINSON
bw001247 FROM
bw001248 MR
bw001249 ATKINSON
bw001250 IN
bw001251 REPLY
bw001252 TO
bw001253 THE
bw001254 BOARD'S
bw001255 ORDERS
bw001256 IN
bw001257 THE
bw001258 SUBJECT
bw001259 OF
bw001260 THE
bw001261 SCAVENGERS
bw001262 EMPLOY
bw001263 ¬
bw001264 FROM
bw001265 MASULIPATAM
bw001266 FROM
bw001267 MASULIPATAM
bw001268 WITH
bw001269 CASH
bw001270 ¬
bw001271 ACCOUNTS
bw001272 FOR
bw001273 NOVEMBER
bw001274 ,
bw001275 AND
bw001276 ESTIMATE
bw001277 OF
bw001278 RECEIPTS
bw001279 &
bw001280 DISBURSE
bw001281 MENTS
bw001282 FOR
bw001283 DECEMBER
bw001284 PROBABLE
bw001285 BALANCE
bw001286 OF
bw001287 CASH
bw001288 BEING
bw001289 M.PAG
bw001290 14,583,
bw001291 ,
bw001292 27
bw001293 ,
bw001294 ,
bw001295 ¬
bw001296 LETTER
bw001297 FROM
bw001298 DR
bw001299 BERRY
bw001300 IN
bw001301 REPLY
bw001302 RELATIVE
bw001303 TO
bw001304 THE
bw001305 COMPANY'S
bw001306 NOPALRY
bw001307 READ
bw001308 THE
bw001309 FOLLOWING
bw001310 LETTER
bw001311 FROM
bw001312 DOCTOR
bw001313 ANDREW
bw001314 BERRY
bw001315 ¬
bw001316 TO
bw001317 THE
bw001318 HONBLE
bw001319 SIR
bw001320 CHARLES
bw001321 PAKELEY
bw001322 BAR
bw001323 T
bw001324 PRESIDENT
bw001325 IN
bw001326 COUNCIL
bw001327 &
bw001328 C
bw001329 ,
bw001330 ,
bw001331 HONBLE
bw001332 SIR
bw001333 I
bw001334 HAVE
bw001335 BEEN
bw001336 HONORED
bw001337 WITH
bw001338 YOUR
bw001339 SECRETARY'S
bw001340 LETTER
bw001341 OF
bw001342 THE
bw001343 3D
bw001344 INSTANT
bw001345 ,
bw001346 AND
bw001347 WILL
bw001348 ENDEAVOUR
bw001349 3372
bw001350 FORT
bw001351 ST
bw001352 GEORGE
bw001353 20TH
bw001354 DECEMBER
bw001355 1791
bw001356 ENDEAVOUR
bw001357 TO
bw001358 GIVE
bw001359 YOU
bw001360 EVERY
bw001361 INFORMATION
bw001362 ON
bw001363 THE
bw001364 DIFFERENT
bw001365 SUBJECTS
bw001366 I
bw001367 CAN
bw001368 ,
bw001369 AS
bw001370 I
bw001371 CONSIDER
bw001372 IT
bw001373 MY
bw001374 DUTY
bw001375 AS
bw001376 WELL
bw001377 AS
bw001378 YOUR
bw001379 DESIRE
bw001380 .
bw001381 ¬
bw001382 YOU
bw001383 ARE
bw001384 PLEASED
bw001385 TO
bw001386 SAY
bw001387 ¬
bw001388 "IT
bw001389 APPEARING
bw001390 THAT
bw001391 A
bw001392 GREAT
bw001393 PART
bw001394 OF
bw001395 THE
bw001396 "EXPENCE
bw001397 HAS
bw001398 BEEN
bw001399 APPLIED
bw001400 TO
bw001401 PURPOSES
bw001402 ,
bw001403 WHICH
bw001404 "CANNOT
bw001405 AGAIN
bw001406 OCCUR
bw001407 ,
bw001408 SUCH
bw001409 AS
bw001410 ENCLOSING
bw001411 ,
bw001412 LEVEL
bw001413 LING
bw001414 AND
bw001415 MANURING
bw001416 THE
bw001417 GROUND
bw001418 ,
bw001419 DIGGING
bw001420 ,
bw001421 ¬
bw001422 WELLS
bw001423 &C,,"
bw001424 —
bw001425 I
bw001426 MUST
bw001427 OBSERVE
bw001428 THAT
bw001429 AS
bw001430 FAR
bw001431 AS
bw001432 REGARDS
bw001433 ENCLOSING
bw001434 AND
bw001435 LEVELLING
bw001436 ,
bw001437 WHAT
